Schools,Colleges,Hospitals,Gyms,Boys_Hostels,Girls_Hostels,Turfs,Parking_Spaces,Competitors,Rent_Cost,Daily_Footfall,Avg_Income,Shop_Area_SqFt,Dist_To_Transit,Best_Shop_Type,Area_Type,Dominant_Age_Group
3.0,4.0,2.0,1.0,4.0,4.0,4.0,25.0,1.0,19642.0,12346.0,36057.0,3707.0,1770.0,Supermarket,Rural,Seniors
8.0,3.0,2.0,4.0,0.0,1.0,4.0,18.0,6.0,34636.0,8531.0,131832.0,3005.0,1768.0,Supermarket,Semi-Urban,Seniors
1.0,1.0,1.0,2.0,9.0,,2.0,26.0,8.0,48596.0,10372.0,144901.0,2014.0,1084.0,Supermarket,Rural,Kids
,1.0,2.0,1.0,7.0,3.0,0.0,22.0,6.0,14187.0,5267.0,34848.0,2189.0,1666.0,Supermarket,Rural,Seniors
4.0,5.0,5.0,5.0,1.0,1.0,0.0,6.0,0.0,43737.0,12801.0,61525.0,1692.0,192.0,Pharmacy,Rural,Kids
1.0,4.0,0.0,1.0,5.0,5.0,1.0,21.0,1.0,78114.0,6029.0,67100.0,2968.0,1241.0,Supermarket,Rural,Seniors
3.0,1.0,4.0,0.0,4.0,0.0,0.0,14.0,7.0,65103.0,8124.0,53742.0,3182.0,1683.0,Supermarket,Rural,Teens
6.0,1.0,2.0,0.0,1.0,7.0,3.0,4.0,0.0,66121.0,11904.0,82945.0,658.0,704.0,Stationery,Rural,Teens
7.0,5.0,2.0,1.0,9.0,8.0,4.0,2.0,1.0,19211.0,7653.0,54902.0,2222.0,288.0,Stationery,Semi-Urban,Adults
2.0,3.0,1.0,4.0,0.0,6.0,2.0,14.0,4.0,40651.0,13427.0,129020.0,2252.0,1342.0,Supermarket,Urban,Teens
0.0,2.0,0.0,2.0,5.0,8.0,4.0,3.0,5.0,11653.0,11468.0,69777.0,806.0,974.0,Coolbar,Semi-Urban,Adults
3.0,0.0,1.0,0.0,5.0,1.0,4.0,28.0,0.0,76796.0,11519.0,149932.0,2327.0,726.0,Supermarket,Semi-Urban,
1.0,2.0,5.0,5.0,2.0,0.0,3.0,4.0,0.0,13362.0,13284.0,73505.0,2323.0,416.0,Pharmacy,Urban,Kids
7.0,1.0,1.0,0.0,7.0,6.0,4.0,3.0,1.0,15480.0,4561.0,83015.0,3941.0,294.0,Stationery,Urban,Seniors
3.0,4.0,2.0,5.0,8.0,3.0,,2.0,2.0,69828.0,6439.0,70682.0,1120.0,1004.0,Stationery,Urban,Adults
1.0,0.0,0.0,2.0,2.0,9.0,3.0,1.0,8.0,42631.0,9227.0,43991.0,3475.0,1121.0,Bakery,Rural,Adults
5.0,0.0,5.0,0.0,8.0,7.0,3.0,4.0,2.0,16671.0,6174.0,31588.0,1802.0,491.0,Pharmacy,Semi-Urban,Adults
5.0,,2.0,4.0,7.0,2.0,0.0,17.0,7.0,21038.0,10350.0,136757.0,2072.0,603.0,Supermarket,Semi-Urban,Teens
3.0,0.0,5.0,5.0,4.0,6.0,4.0,1.0,5.0,32716.0,12152.0,20058.0,1404.0,1321.0,Pharmacy,Urban,Seniors
5.0,4.0,2.0,0.0,5.0,6.0,1.0,14.0,9.0,58041.0,5218.0,127318.0,2059.0,59.0,Pet Grooming,Urban,Kids
1.0,0.0,2.0,0.0,0.0,9.0,1.0,17.0,4.0,65977.0,5908.0,103214.0,3341.0,1985.0,Supermarket,Rural,
1.0,5.0,2.0,1.0,4.0,8.0,1.0,29.0,8.0,29632.0,10212.0,79512.0,2297.0,1506.0,Supermarket,Semi-Urban,Kids
3.0,5.0,4.0,4.0,9.0,3.0,3.0,17.0,7.0,33247.0,11922.0,73964.0,2871.0,153.0,Supermarket,,Teens
7.0,2.0,3.0,4.0,9.0,9.0,4.0,7.0,2.0,21064.0,6140.0,95894.0,3030.0,1934.0,Stationery,Semi-Urban,Teens
6.0,0.0,0.0,1.0,6.0,0.0,0.0,11.0,6.0,12237.0,8726.0,149181.0,3687.0,643.0,Beauty Parlor,Rural,Seniors
8.0,3.0,4.0,5.0,0.0,6.0,4.0,22.0,3.0,15967.0,3067.0,102584.0,3484.0,661.0,Supermarket,Urban,Adults
7.0,4.0,3.0,3.0,9.0,9.0,1.0,8.0,,,12606.0,111476.0,3455.0,999.0,Pet Grooming,Urban,Adults
4.0,0.0,5.0,2.0,8.0,5.0,2.0,18.0,6.0,31512.0,8836.0,50544.0,2175.0,809.0,Supermarket,Urban,Adults
1.0,5.0,3.0,4.0,6.0,0.0,1.0,0.0,2.0,49791.0,7235.0,74243.0,2115.0,807.0,Pharmacy,Rural,Kids
4.0,5.0,3.0,3.0,3.0,8.0,3.0,21.0,,72214.0,3591.0,57286.0,393.0,148.0,Stationery,Semi-Urban,Seniors
7.0,4.0,4.0,5.0,3.0,9.0,4.0,24.0,5.0,23991.0,5070.0,110145.0,2997.0,1775.0,Supermarket,Urban,Seniors
8.0,3.0,0.0,2.0,9.0,7.0,3.0,28.0,5.0,68355.0,12011.0,32776.0,311.0,1957.0,Fast Food,Urban,Teens
8.0,0.0,1.0,4.0,6.0,9.0,0.0,16.0,9.0,23500.0,4929.0,78977.0,1930.0,1034.0,Supermarket,Urban,Teens
0.0,0.0,3.0,0.0,5.0,3.0,4.0,0.0,2.0,75832.0,7689.0,53968.0,866.0,650.0,Pharmacy,Rural,Kids
8.0,3.0,1.0,4.0,2.0,4.0,4.0,19.0,3.0,11775.0,937.0,132564.0,2722.0,653.0,Supermarket,Urban,Seniors
6.0,3.0,1.0,2.0,8.0,7.0,4.0,25.0,3.0,66320.0,1380.0,95761.0,1310.0,1704.0,Clothing Store,Semi-Urban,Teens
8.0,3.0,2.0,3.0,5.0,1.0,2.0,16.0,5.0,70592.0,11322.0,72773.0,1488.0,1835.0,Stationery,Semi-Urban,Seniors
7.0,5.0,1.0,0.0,1.0,5.0,4.0,24.0,8.0,72788.0,1732.0,136273.0,2180.0,918.0,Supermarket,Rural,Kids
0.0,4.0,5.0,2.0,9.0,9.0,2.0,5.0,4.0,29597.0,7232.0,69850.0,2795.0,220.0,Pharmacy,Rural,Kids
7.0,3.0,5.0,5.0,1.0,1.0,4.0,4.0,7.0,20758.0,4966.0,125973.0,3026.0,1376.0,Beauty Parlor,Urban,Seniors
7.0,4.0,2.0,2.0,0.0,7.0,1.0,26.0,4.0,38183.0,4676.0,95237.0,2030.0,1860.0,Supermarket,Semi-Urban,Teens
2.0,2.0,0.0,4.0,4.0,4.0,0.0,4.0,5.0,19091.0,8638.0,87133.0,3150.0,1218.0,Sports Nutrition,,Adults
0.0,0.0,0.0,5.0,9.0,9.0,4.0,10.0,5.0,21197.0,10987.0,58553.0,468.0,135.0,Barber Shop,Rural,Teens
7.0,0.0,5.0,1.0,5.0,2.0,3.0,10.0,3.0,22725.0,11191.0,51297.0,689.0,805.0,Pharmacy,Rural,Seniors
2.0,1.0,2.0,1.0,2.0,1.0,1.0,10.0,9.0,50407.0,5315.0,66945.0,3574.0,1483.0,Supermarket,Urban,Kids
2.0,2.0,0.0,0.0,3.0,3.0,3.0,11.0,9.0,17616.0,6802.0,116357.0,2738.0,1920.0,Beauty Parlor,Urban,Adults
0.0,3.0,3.0,2.0,4.0,7.0,3.0,11.0,4.0,52721.0,1864.0,56584.0,1812.0,1006.0,Supermarket,Urban,Adults
4.0,3.0,0.0,3.0,3.0,0.0,2.0,1.0,3.0,16759.0,2516.0,51229.0,316.0,462.0,Stationery,Urban,Teens
6.0,5.0,2.0,0.0,8.0,9.0,0.0,2.0,1.0,33490.0,1664.0,104157.0,2765.0,751.0,Stationery,Urban,Teens
8.0,2.0,5.0,5.0,2.0,2.0,3.0,27.0,1.0,14783.0,7780.0,32899.0,2123.0,888.0,Supermarket,Rural,Adults
6.0,3.0,3.0,0.0,4.0,0.0,1.0,6.0,7.0,30377.0,11504.0,114057.0,2034.0,899.0,Pet Grooming,Rural,Teens
8.0,1.0,1.0,4.0,6.0,1.0,0.0,19.0,3.0,72816.0,11792.0,149843.0,2272.0,1699.0,Supermarket,Rural,Teens
7.0,4.0,1.0,5.0,6.0,9.0,1.0,13.0,8.0,49428.0,12226.0,76509.0,411.0,1276.0,Fast Food,Semi-Urban,Kids
1.0,0.0,1.0,3.0,5.0,6.0,3.0,21.0,5.0,76057.0,,135425.0,528.0,1961.0,Beauty Parlor,Rural,Kids
0.0,2.0,5.0,2.0,8.0,0.0,0.0,15.0,4.0,66904.0,13204.0,98700.0,2784.0,1209.0,Supermarket,Rural,Seniors
6.0,0.0,2.0,5.0,6.0,8.0,4.0,23.0,6.0,46383.0,9602.0,81763.0,1964.0,1583.0,Supermarket,Urban,Kids
6.0,4.0,1.0,2.0,3.0,7.0,3.0,13.0,5.0,77156.0,1646.0,32106.0,784.0,1833.0,Stationery,Rural,Adults
7.0,,0.0,2.0,9.0,0.0,3.0,16.0,3.0,38585.0,10078.0,45513.0,3568.0,1637.0,Supermarket,Urban,Seniors
4.0,4.0,1.0,,8.0,9.0,2.0,14.0,9.0,76040.0,8256.0,93868.0,,684.0,Pet Grooming,Rural,Kids
2.0,3.0,4.0,4.0,5.0,0.0,1.0,10.0,8.0,50217.0,5107.0,70790.0,3155.0,1902.0,Barber Shop,Urban,Adults
,3.0,,0.0,0.0,1.0,4.0,12.0,5.0,29848.0,14358.0,,1220.0,152.0,Pharmacy,Rural,Teens
5.0,3.0,4.0,1.0,8.0,1.0,0.0,5.0,2.0,58580.0,1416.0,126357.0,3946.0,985.0,Pharmacy,Rural,Seniors
2.0,4.0,1.0,1.0,6.0,5.0,3.0,16.0,3.0,16198.0,13969.0,113636.0,2059.0,970.0,Supermarket,Semi-Urban,Adults
0.0,4.0,1.0,2.0,5.0,0.0,3.0,11.0,3.0,33607.0,12643.0,127366.0,255.0,895.0,Sports Nutrition,Semi-Urban,Kids
2.0,4.0,4.0,4.0,5.0,3.0,4.0,27.0,7.0,35526.0,2209.0,147050.0,666.0,659.0,Clothing Store,Semi-Urban,Seniors
4.0,0.0,5.0,5.0,3.0,6.0,3.0,27.0,4.0,61954.0,6366.0,74554.0,243.0,59.0,Pharmacy,Rural,Adults
2.0,4.0,5.0,2.0,3.0,8.0,1.0,23.0,7.0,68154.0,8477.0,81698.0,3637.0,1153.0,Supermarket,Urban,Kids
0.0,3.0,1.0,5.0,2.0,9.0,0.0,3.0,7.0,36442.0,10208.0,77722.0,1741.0,552.0,Sports Nutrition,Rural,Teens
4.0,1.0,5.0,2.0,7.0,2.0,4.0,20.0,5.0,22451.0,9914.0,45004.0,2662.0,1840.0,Supermarket,Urban,Seniors
6.0,4.0,3.0,0.0,7.0,3.0,4.0,9.0,,34465.0,4152.0,133277.0,1078.0,1381.0,Pet Grooming,Rural,Adults
,1.0,5.0,2.0,1.0,4.0,2.0,,1.0,30254.0,633.0,75259.0,698.0,1870.0,Pharmacy,Rural,Seniors
,3.0,4.0,2.0,4.0,4.0,0.0,18.0,0.0,12536.0,10613.0,59202.0,1575.0,1771.0,Supermarket,Urban,Kids
2.0,4.0,2.0,4.0,8.0,1.0,4.0,6.0,6.0,69457.0,10604.0,138436.0,3472.0,484.0,Sports Nutrition,Semi-Urban,Teens
6.0,0.0,4.0,4.0,8.0,4.0,3.0,22.0,9.0,53146.0,3062.0,143789.0,3009.0,1143.0,Supermarket,Urban,Seniors
0.0,0.0,0.0,5.0,6.0,9.0,0.0,29.0,9.0,14290.0,9000.0,122172.0,2368.0,1815.0,Supermarket,Semi-Urban,Seniors
3.0,1.0,3.0,4.0,3.0,0.0,1.0,11.0,6.0,61488.0,5117.0,119059.0,1783.0,1721.0,Supermarket,Semi-Urban,Kids
3.0,5.0,2.0,2.0,3.0,6.0,4.0,10.0,1.0,26841.0,5131.0,29060.0,3617.0,1095.0,Stationery,,Teens
4.0,0.0,1.0,4.0,9.0,4.0,1.0,23.0,2.0,74308.0,916.0,64926.0,205.0,989.0,Clothing Store,Semi-Urban,Seniors
6.0,0.0,0.0,4.0,6.0,5.0,4.0,28.0,7.0,39100.0,10055.0,98397.0,236.0,1451.0,Clothing Store,Urban,
6.0,0.0,0.0,3.0,2.0,8.0,3.0,2.0,3.0,40330.0,10728.0,28912.0,3762.0,930.0,Coolbar,Urban,Seniors
3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,42504.0,2825.0,128941.0,425.0,598.0,Beauty Parlor,Semi-Urban,Kids
6.0,0.0,2.0,1.0,4.0,0.0,3.0,1.0,6.0,38068.0,3376.0,89022.0,943.0,,Barber Shop,Urban,Seniors
2.0,,0.0,0.0,5.0,7.0,1.0,21.0,7.0,44865.0,3027.0,77135.0,2618.0,1181.0,Supermarket,Semi-Urban,Adults
,4.0,2.0,0.0,7.0,1.0,0.0,1.0,0.0,17437.0,9937.0,136211.0,348.0,1460.0,Beauty Parlor,Semi-Urban,Kids
1.0,0.0,2.0,4.0,0.0,1.0,1.0,26.0,6.0,55875.0,2358.0,141637.0,1457.0,222.0,Clothing Store,Rural,Adults
8.0,5.0,5.0,1.0,6.0,9.0,2.0,14.0,2.0,15723.0,14071.0,112854.0,1058.0,139.0,Pharmacy,Rural,Kids
4.0,5.0,0.0,1.0,7.0,3.0,4.0,3.0,4.0,33194.0,5798.0,75799.0,1861.0,922.0,Fast Food,Urban,Kids
5.0,0.0,2.0,5.0,4.0,4.0,4.0,24.0,0.0,45393.0,10231.0,,3835.0,1236.0,Supermarket,Semi-Urban,Adults
3.0,0.0,3.0,3.0,9.0,0.0,1.0,25.0,2.0,19510.0,1306.0,121777.0,2202.0,814.0,Supermarket,Semi-Urban,Kids
6.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,4.0,25443.0,5650.0,129393.0,290.0,539.0,Pet Grooming,Urban,Kids
8.0,0.0,3.0,2.0,3.0,7.0,4.0,16.0,0.0,33358.0,6060.0,132270.0,2314.0,1565.0,Supermarket,Urban,Adults
6.0,0.0,3.0,5.0,5.0,5.0,4.0,1.0,1.0,59848.0,4796.0,133074.0,1952.0,599.0,Sports Nutrition,Urban,Adults
0.0,4.0,2.0,4.0,8.0,2.0,2.0,25.0,2.0,11616.0,2577.0,137827.0,2281.0,1523.0,Supermarket,Rural,Seniors
0.0,5.0,2.0,2.0,1.0,6.0,2.0,28.0,7.0,17062.0,9960.0,38149.0,2426.0,901.0,Supermarket,Semi-Urban,Teens
8.0,2.0,5.0,0.0,3.0,5.0,0.0,9.0,4.0,29486.0,13648.0,128980.0,348.0,173.0,Pharmacy,Rural,Adults
8.0,5.0,5.0,3.0,9.0,4.0,4.0,6.0,4.0,48296.0,13801.0,100756.0,839.0,,Fast Food,Semi-Urban,Adults
3.0,2.0,0.0,2.0,4.0,7.0,3.0,8.0,2.0,27051.0,4044.0,39944.0,2706.0,1626.0,Stationery,Urban,
8.0,5.0,5.0,4.0,7.0,7.0,1.0,24.0,8.0,35463.0,7143.0,140072.0,2146.0,1919.0,Supermarket,Rural,Seniors
2.0,0.0,1.0,2.0,7.0,2.0,4.0,19.0,8.0,31929.0,3738.0,35098.0,2659.0,527.0,Supermarket,Rural,Seniors
6.0,5.0,0.0,2.0,1.0,7.0,1.0,14.0,1.0,30197.0,5206.0,91035.0,2251.0,1309.0,Stationery,Semi-Urban,Kids
5.0,5.0,3.0,1.0,5.0,9.0,4.0,7.0,7.0,,12812.0,97202.0,3123.0,1089.0,Fast Food,Urban,Adults
7.0,2.0,5.0,3.0,5.0,8.0,2.0,16.0,0.0,44932.0,3820.0,80824.0,2928.0,355.0,Supermarket,Urban,Kids
8.0,1.0,5.0,0.0,4.0,9.0,0.0,26.0,4.0,54633.0,12333.0,101584.0,2044.0,1577.0,Supermarket,Rural,Adults
4.0,2.0,5.0,4.0,7.0,2.0,3.0,10.0,6.0,70417.0,11992.0,131827.0,,1493.0,Pharmacy,Urban,Kids
0.0,2.0,2.0,5.0,9.0,7.0,2.0,15.0,7.0,50767.0,,133229.0,2209.0,1632.0,Beauty Parlor,Rural,Seniors
2.0,,3.0,5.0,1.0,7.0,0.0,29.0,7.0,57901.0,11134.0,87514.0,3612.0,1452.0,Supermarket,Rural,Kids
7.0,3.0,5.0,4.0,1.0,6.0,2.0,21.0,5.0,57478.0,13261.0,115111.0,3211.0,238.0,Supermarket,Urban,Teens
5.0,3.0,4.0,0.0,6.0,7.0,1.0,29.0,6.0,64396.0,3165.0,61416.0,2476.0,387.0,Supermarket,Urban,Adults
7.0,3.0,4.0,4.0,8.0,0.0,4.0,23.0,3.0,57630.0,2849.0,28468.0,2296.0,248.0,Supermarket,Urban,Adults
8.0,2.0,3.0,1.0,2.0,2.0,2.0,17.0,9.0,74806.0,13644.0,77441.0,1927.0,1340.0,Supermarket,,Teens
3.0,1.0,5.0,5.0,6.0,5.0,0.0,23.0,6.0,17630.0,3336.0,123415.0,3966.0,1984.0,Supermarket,,Seniors
0.0,2.0,1.0,5.0,2.0,6.0,4.0,3.0,6.0,11563.0,996.0,74183.0,306.0,1759.0,Sports Nutrition,Rural,Seniors
0.0,0.0,1.0,2.0,5.0,,1.0,17.0,8.0,47058.0,885.0,24408.0,395.0,1277.0,Barber Shop,Semi-Urban,Teens
3.0,1.0,0.0,1.0,2.0,5.0,1.0,19.0,1.0,76825.0,2749.0,57109.0,3577.0,805.0,Supermarket,Urban,Kids
6.0,3.0,0.0,5.0,0.0,3.0,3.0,7.0,7.0,60019.0,2330.0,132698.0,3166.0,1197.0,Beauty Parlor,Urban,Teens
1.0,5.0,5.0,1.0,5.0,4.0,4.0,14.0,8.0,77334.0,12886.0,143240.0,3455.0,302.0,Supermarket,Rural,Seniors
2.0,5.0,0.0,1.0,2.0,8.0,1.0,12.0,2.0,65571.0,11156.0,131820.0,464.0,1264.0,Beauty Parlor,Urban,Kids
0.0,4.0,2.0,0.0,0.0,0.0,2.0,3.0,7.0,55870.0,1244.0,85433.0,559.0,1034.0,Coolbar,Rural,Kids
4.0,1.0,1.0,5.0,4.0,1.0,1.0,28.0,0.0,31997.0,14199.0,,3935.0,883.0,Supermarket,Semi-Urban,Teens
0.0,3.0,3.0,3.0,7.0,4.0,1.0,13.0,9.0,78852.0,12598.0,38295.0,1343.0,444.0,Barber Shop,Rural,Adults
7.0,1.0,5.0,0.0,7.0,4.0,1.0,14.0,4.0,70619.0,9144.0,84620.0,3300.0,665.0,Supermarket,Urban,Adults
0.0,1.0,5.0,0.0,,6.0,3.0,14.0,0.0,41505.0,13252.0,101082.0,3790.0,1618.0,Supermarket,Urban,Teens
0.0,5.0,4.0,1.0,2.0,7.0,0.0,23.0,0.0,12412.0,6528.0,49924.0,2649.0,683.0,Supermarket,Rural,Seniors
1.0,2.0,1.0,3.0,7.0,9.0,1.0,22.0,5.0,47810.0,11316.0,124605.0,3721.0,1085.0,Supermarket,Urban,Adults
1.0,0.0,1.0,0.0,3.0,5.0,0.0,4.0,4.0,40087.0,9882.0,46286.0,995.0,437.0,Barber Shop,Urban,Teens
5.0,4.0,1.0,3.0,7.0,5.0,4.0,23.0,4.0,30221.0,14684.0,121436.0,3826.0,1252.0,Supermarket,Urban,Teens
6.0,3.0,0.0,5.0,2.0,4.0,0.0,14.0,1.0,51831.0,2536.0,118515.0,1904.0,1306.0,Supermarket,Semi-Urban,Kids
4.0,1.0,2.0,1.0,2.0,4.0,4.0,17.0,9.0,33144.0,11493.0,129702.0,2054.0,645.0,Supermarket,Semi-Urban,Kids
0.0,4.0,3.0,0.0,0.0,7.0,3.0,2.0,8.0,78603.0,14311.0,136021.0,740.0,1942.0,Beauty Parlor,Urban,Seniors
0.0,1.0,,3.0,7.0,4.0,4.0,19.0,4.0,33794.0,7592.0,53515.0,884.0,1035.0,Barber Shop,Urban,Seniors
2.0,5.0,2.0,4.0,7.0,5.0,4.0,9.0,2.0,24290.0,5760.0,127539.0,2008.0,1844.0,Supermarket,Semi-Urban,
1.0,0.0,1.0,0.0,8.0,2.0,2.0,4.0,6.0,12011.0,13684.0,25391.0,1223.0,1646.0,Barber Shop,Semi-Urban,Kids
4.0,5.0,2.0,0.0,5.0,4.0,3.0,4.0,5.0,57147.0,5205.0,132129.0,3878.0,92.0,Beauty Parlor,Urban,Kids
5.0,4.0,0.0,0.0,1.0,8.0,1.0,14.0,5.0,65360.0,,60841.0,600.0,1843.0,Stationery,Semi-Urban,Seniors
6.0,3.0,1.0,3.0,0.0,2.0,3.0,0.0,4.0,21441.0,13616.0,74504.0,3430.0,1145.0,Fast Food,Rural,Seniors
3.0,1.0,0.0,2.0,7.0,7.0,2.0,0.0,3.0,,1874.0,94483.0,3102.0,522.0,Pet Grooming,Urban,Adults
6.0,0.0,3.0,5.0,9.0,,4.0,15.0,5.0,52050.0,9275.0,64642.0,3153.0,561.0,Supermarket,Semi-Urban,Adults
7.0,5.0,1.0,0.0,3.0,3.0,3.0,27.0,6.0,60147.0,2347.0,133834.0,3725.0,608.0,Supermarket,Semi-Urban,Kids
0.0,4.0,2.0,4.0,6.0,4.0,2.0,26.0,7.0,79021.0,1236.0,69307.0,3117.0,393.0,Supermarket,Urban,Adults
5.0,5.0,0.0,4.0,9.0,7.0,1.0,16.0,1.0,11477.0,14673.0,64297.0,1718.0,301.0,Supermarket,Rural,Kids
7.0,1.0,4.0,1.0,3.0,9.0,4.0,13.0,3.0,70264.0,9324.0,34028.0,2658.0,1604.0,Pharmacy,Semi-Urban,Kids
4.0,1.0,2.0,2.0,0.0,6.0,3.0,14.0,6.0,18400.0,910.0,48181.0,3090.0,562.0,Supermarket,Urban,Seniors
3.0,3.0,2.0,2.0,7.0,9.0,3.0,13.0,2.0,13886.0,6092.0,31169.0,1627.0,1981.0,Barber Shop,Semi-Urban,Teens
1.0,0.0,1.0,3.0,9.0,9.0,4.0,20.0,4.0,35565.0,7065.0,144047.0,2549.0,1372.0,Supermarket,Urban,Kids
5.0,2.0,5.0,1.0,8.0,,3.0,1.0,9.0,54238.0,8037.0,126567.0,780.0,1128.0,Beauty Parlor,Urban,Seniors
5.0,5.0,2.0,3.0,9.0,7.0,4.0,2.0,6.0,63628.0,10196.0,122136.0,1895.0,1242.0,Beauty Parlor,Urban,Teens
0.0,1.0,0.0,1.0,8.0,7.0,2.0,23.0,8.0,17250.0,12761.0,97779.0,2316.0,1811.0,Supermarket,Semi-Urban,Teens
